vehicle_id,timestamp,speed,route_id,trip_id,latitude,longitude,trip_headsign
8924,2016-09-01T17:12:45-05:00,0.0,1,1669518,30.418316,-97.66912,1-Metric/South Congress-SB
2070,2016-09-01T17:12:39-05:00,0.0,1,1669519,30.391806,-97.70874,1-Metric/South Congress-SB
8946,2016-09-01T17:13:21-05:00,0.0,1,1669520,30.27526,-97.74408,1-Metric/South Congress-SB
2203,2016-09-01T17:13:20-05:00,11.176,1,1669521,30.344202,-97.71497,1-Metric/South Congress-SB
2202,2016-09-01T17:12:20-05:00,3.12928,1,1669522,30.257137,-97.74699,1-Metric/South Congress-SB
8839,2016-09-01T17:12:22-05:00,5.81152,1,1669537,30.315933,-97.73226,1-Metric/South Congress-SB
2204,2016-09-01T17:13:02-05:00,0.0,1,1669541,30.38031,-97.71608,1-Metric/South Congress-SB
2225,2016-09-01T17:12:06-05:00,6.25856,1,1669570,30.220177,-97.76561,1-Metric/South Congress-NB
8850,2016-09-01T17:12:39-05:00,7.15264,1,1669571,30.266928,-97.74585,1-Metric/South Congress-NB
2423,2016-09-01T17:11:27-05:00,0.0,1,1669572,30.288872,-97.74145,1-Metric/South Congress-NB
8918,2016-09-01T17:12:31-05:00,0.0,1,1669573,30.18946,-97.76783,1-Metric/South Congress-NB
2204,2016-09-01T17:13:02-05:00,0.0,1,1669574,30.38031,-97.71608,1-Metric/South Congress-NB
8839,2016-09-01T17:12:22-05:00,5.81152,1,1669586,30.315933,-97.73226,1-Metric/South Congress-NB
2202,2016-09-01T17:12:20-05:00,3.12928,1,1669589,30.257137,-97.74699,1-Metric/South Congress-NB
8947,2016-09-01T17:12:22-05:00,4.91744,10,1669796,30.31409,-97.71998,10-South 1st/Red River-SB
8937,2016-09-01T17:12:44-05:00,10.72896,10,1669798,30.353167,-97.67853,10-South 1st/Red River-SB
8916,2016-09-01T17:12:27-05:00,9.83488,10,1669799,30.343708,-97.705536,10-South 1st/Red River-SB
2063,2016-09-01T17:11:27-05:00,0.0,10,1669800,30.304712,-97.719376,10-South 1st/Red River-SB
8906,2016-09-01T17:12:08-05:00,8.9408,10,1669801,30.274408,-97.735176,10-South 1st/Red River-SB
2206,2016-09-01T17:12:30-05:00,12.07008,10,1669802,30.226557,-97.76947,10-South 1st/Red River-SB
2053,2016-09-01T17:12:55-05:00,0.0,10,1669803,30.167185,-97.79145,10-South 1st/Red River-SB
2206,2016-09-01T17:12:30-05:00,12.07008,10,1669838,30.226557,-97.76947,10-South 1st/Red River-NB
2067,2016-09-01T17:11:33-05:00,7.15264,10,1669839,30.173758,-97.79883,10-South 1st/Red River-NB
8848,2016-09-01T17:12:44-05:00,8.9408,10,1669840,30.239702,-97.76115,10-South 1st/Red River-NB
2053,2016-09-01T17:12:55-05:00,0.0,10,1669841,30.167185,-97.79145,10-South 1st/Red River-NB
8944,2016-09-01T17:11:45-05:00,0.0,10,1669842,30.271355,-97.7361,10-South 1st/Red River-NB
8947,2016-09-01T17:12:22-05:00,4.91744,10,1669854,30.31409,-97.71998,10-South 1st/Red River-NB
2307,2016-09-01T17:12:17-05:00,0.0,100,1670072,30.279633,-97.73432,100-Airport Flyer-IB
2308,2016-09-01T17:13:14-05:00,13.85824,100,1670073,30.232662,-97.721466,100-Airport Flyer-IB
2306,2016-09-01T17:13:19-05:00,0.0,100,1670074,30.22499,-97.703255,100-Airport Flyer-IB
2306,2016-09-01T17:13:19-05:00,0.0,100,1670094,30.22499,-97.703255,100-Airport Flyer-OB
2369,2016-09-01T17:13:01-05:00,5.36448,100,1670095,30.285105,-97.7322,100-Airport Flyer-OB
2308,2016-09-01T17:13:14-05:00,13.85824,100,1670096,30.232662,-97.721466,100-Airport Flyer-OB
2307,2016-09-01T17:12:17-05:00,0.0,100,1670118,30.279633,-97.73432,100-Airport Flyer-OB
7410,2016-09-01T17:12:56-05:00,0.0,103,1670312,30.285435,-97.73376,103-Manchaca Flyer-SB
2409,2016-09-01T17:13:06-05:00,10.72896,103,1670313,30.265003,-97.73439,103-Manchaca Flyer-SB
8948,2016-09-01T17:11:59-05:00,0.89408,103,1670314,30.2625,-97.75801,103-Manchaca Flyer-SB
2367,2016-09-01T17:12:03-05:00,0.0,110,1670320,30.28021,-97.7355,110-South Central Flyer-SB
2357,2016-09-01T17:12:11-05:00,8.04672,110,1670321,30.227438,-97.769,110-South Central Flyer-SB
8910,2016-09-01T17:12:54-05:00,12.07008,111,1670327,30.27284,-97.71368,111-South Mopac Flyer-SB
9121,2016-09-01T17:11:42-05:00,5.36448,111,1670328,30.26811,-97.746704,111-South Mopac Flyer-SB
9125,2016-09-01T17:11:49-05:00,5.36448,122,1670330,30.47942,-97.78512,122-Four Points Limited-SB
9309,2016-09-01T17:13:02-05:00,9.83488,122,1670331,30.4,-97.74579,122-Four Points Limited-SB
8904,2016-09-01T17:12:45-05:00,5.81152,127,1670333,30.210222,-97.75567,127-Dove Springs Flyer-SB
9303,2016-09-01T17:12:55-05:00,0.0,135,1670341,30.414383,-97.66367,135-Dell Limited-SB
9123,2016-09-01T17:11:50-05:00,3.57632,135,1670344,30.257055,-97.74661,135-Dell Limited-SB
9106,2016-09-01T17:12:25-05:00,4.91744,135,1670345,30.275644,-97.73613,135-Dell Limited-SB
9102,2016-09-01T17:11:50-05:00,4.91744,135,1670347,30.267368,-97.74572,135-Dell Limited-SB
6013,2016-09-01T17:11:36-05:00,4.02336,142,1670348,30.280073,-97.73635,142-Metric Flyer-NB
6006,2016-09-01T17:12:26-05:00,12.07008,142,1670349,30.27284,-97.73239,142-Metric Flyer-NB
6030,2016-09-01T17:12:36-05:00,5.81152,142,1670350,30.258842,-97.74857,142-Metric Flyer-NB
6012,2016-09-01T17:12:33-05:00,0.89408,142,1670351,30.377972,-97.707756,142-Metric Flyer-NB
2103,2016-09-01T17:12:13-05:00,0.0,17,1670376,30.252077,-97.691826,17-Cesar Chavez-EB
