ridership,route_id,route_name,route_type,service_period,day
5200,10,10-SOUTH 1ST/RED RIVER,Local,Spring 2013,weekday
5016,10,10-SOUTH 1ST/RED RIVER,Local,Summer 2013,weekday
5215,10,10-SOUTH 1ST/RED RIVER,Local,Fall 2013,weekday
5350,10,10-SOUTH 1ST/RED RIVER,Local,Spring 2014,weekday
5151,10,10-SOUTH 1ST/RED RIVER,Local,Summer 2014,weekday
5202,10,10-SOUTH 1ST/RED RIVER,Local,Fall 2014,weekday
4683,10,10-SOUTH 1ST/RED RIVER,Local,Spring 2015,weekday
4490,10,10-SOUTH 1ST/RED RIVER,Local,Summer 2015,weekday
2457,17,17-CESAR CHAVEZ,Local,Spring 2012,weekday
2409,17,17-CESAR CHAVEZ,Local,Summer 2012,weekday
2565,17,17-CESAR CHAVEZ,Local,Fall 2012,weekday
2306,17,17-CESAR CHAVEZ,Local,Spring 2013,weekday
2400,17,17-CESAR CHAVEZ,Local,Summer 2013,weekday
2366,17,17-CESAR CHAVEZ,Local,Fall 2013,weekday
2127,17,17-CESAR CHAVEZ,Local,Spring 2014,weekday
2435,17,17-CESAR CHAVEZ,Local,Summer 2014,weekday
2552,17,17-CESAR CHAVEZ,Local,Fall 2014,weekday
2327,17,17-CESAR CHAVEZ,Local,Spring 2015,weekday
2431,17,17-CESAR CHAVEZ,Local,Summer 2015,weekday
1084,18,18-MARTIN LUTHER KING,Local,Spring 2012,weekday
946,18,18-MARTIN LUTHER KING,Local,Summer 2012,weekday
1089,18,18-MARTIN LUTHER KING,Local,Fall 2012,weekday
1120,18,18-MARTIN LUTHER KING,Local,Spring 2013,weekday
953,18,18-MARTIN LUTHER KING,Local,Summer 2013,weekday
1137,18,18-MARTIN LUTHER KING,Local,Fall 2013,weekday
1123,18,18-MARTIN LUTHER KING,Local,Spring 2014,weekday
897,18,18-MARTIN LUTHER KING,Local,Summer 2014,weekday
1205,18,18-MARTIN LUTHER KING,Local,Fall 2014,weekday
1086,18,18-MARTIN LUTHER KING,Local,Spring 2015,weekday
921,18,18-MARTIN LUTHER KING,Local,Summer 2015,weekday
829,19,19-BULL CREEK,Local,Spring 2012,weekday
832,19,19-BULL CREEK,Local,Summer 2012,weekday
912,19,19-BULL CREEK,Local,Fall 2012,weekday
792,19,19-BULL CREEK,Local,Spring 2013,weekday
744,19,19-BULL CREEK,Local,Summer 2013,weekday
935,19,19-BULL CREEK,Local,Fall 2013,weekday
742,19,19-BULL CREEK,Local,Spring 2014,weekday
789,19,19-BULL CREEK,Local,Summer 2014,weekday
882,19,19-BULL CREEK,Local,Fall 2014,weekday
744,19,19-BULL CREEK,Local,Spring 2015,weekday
738,19,19-BULL CREEK,Local,Summer 2015,weekday
4370,20,20-MANOR RD/RIVERSIDE,Local,Spring 2012,weekday
4267,20,20-MANOR RD/RIVERSIDE,Local,Summer 2012,weekday
4825,20,20-MANOR RD/RIVERSIDE,Local,Fall 2012,weekday
4100,20,20-MANOR RD/RIVERSIDE,Local,Spring 2013,weekday
3809,20,20-MANOR RD/RIVERSIDE,Local,Summer 2013,weekday
3760,20,20-MANOR RD/RIVERSIDE,Local,Fall 2013,weekday
3641,20,20-MANOR RD/RIVERSIDE,Local,Spring 2014,weekday
3785,20,20-MANOR RD/RIVERSIDE,Local,Summer 2014,weekday
3902,20,20-MANOR RD/RIVERSIDE,Local,Fall 2014,weekday
3543,20,20-MANOR RD/RIVERSIDE,Local,Spring 2015,weekday
3894,20,20-MANOR RD/RIVERSIDE,Local,Summer 2015,weekday
729,21,21-EXPOSITION,Local,Spring 2012,weekday
698,21,21-EXPOSITION,Local,Summer 2012,weekday
817,21,21-EXPOSITION,Local,Fall 2012,weekday
683,21,21-EXPOSITION,Local,Spring 2013,weekday
667,21,21-EXPOSITION,Local,Summer 2013,weekday
709,21,21-EXPOSITION,Local,Fall 2013,weekday
697,21,21-EXPOSITION,Local,Spring 2014,weekday
646,21,21-EXPOSITION,Local,Summer 2014,weekday
667,21,21-EXPOSITION,Local,Fall 2014,weekday
600,21,21-EXPOSITION,Local,Spring 2015,weekday
564,21,21-EXPOSITION,Local,Summer 2015,weekday
681,22,22-CHICON,Local,Spring 2012,weekday
606,22,22-CHICON,Local,Summer 2012,weekday
732,22,22-CHICON,Local,Fall 2012,weekday
672,22,22-CHICON,Local,Spring 2013,weekday
619,22,22-CHICON,Local,Summer 2013,weekday
717,22,22-CHICON,Local,Fall 2013,weekday
706,22,22-CHICON,Local,Spring 2014,weekday
628,22,22-CHICON,Local,Summer 2014,weekday
633,22,22-CHICON,Local,Fall 2014,weekday
588,22,22-CHICON,Local,Spring 2015,weekday
556,22,22-CHICON,Local,Summer 2015,weekday
1270,30,30-BARTON CREEK SQ,Local,Spring 2012,weekday
1405,30,30-BARTON CREEK SQ,Local,Summer 2012,weekday
1319,30,30-BARTON CREEK SQ,Local,Fall 2012,weekday
1234,30,30-BARTON CREEK SQ,Local,Spring 2013,weekday
1455,30,30-BARTON CREEK SQ,Local,Summer 2013,weekday
1280,30,30-BARTON CREEK SQ,Local,Fall 2013,weekday
1266,30,30-BARTON CREEK SQ,Local,Spring 2014,weekday
1340,30,30-BARTON CREEK SQ,Local,Summer 2014,weekday
1198,30,30-BARTON CREEK SQ,Local,Fall 2014,weekday
1128,30,30-BARTON CREEK SQ,Local,Spring 2015,weekday
1310,30,30-BARTON CREEK SQ,Local,Summer 2015,weekday
2739,37,37-COLONY PARK/WINDSOR PARK,Local,Spring 2012,weekday
2692,37,37-COLONY PARK/WINDSOR PARK,Local,Summer 2012,weekday
3014,37,37-COLONY PARK/WINDSOR PARK,Local,Fall 2012,weekday
3077,37,37-COLONY PARK/WINDSOR PARK,Local,Spring 2013,weekday
2815,37,37-COLONY PARK/WINDSOR PARK,Local,Summer 2013,weekday
3042,37,37-COLONY PARK/WINDSOR PARK,Local,Fall 2013,weekday
2880,37,37-COLONY PARK/WINDSOR PARK,Local,Spring 2014,weekday
2644,37,37-COLONY PARK/WINDSOR PARK,Local,Summer 2014,weekday
2937,37,37-COLONY PARK/WINDSOR PARK,Local,Fall 2014,weekday
2544,37,37-COLONY PARK/WINDSOR PARK,Local,Spring 2015,weekday
2589,37,37-COLONY PARK/WINDSOR PARK,Local,Summer 2015,weekday
741,100,100-AIRPORT FLYER,Limited/Flyer,Spring 2012,weekday
828,100,100-AIRPORT FLYER,Limited/Flyer,Summer 2012,weekday
977,100,100-AIRPORT FLYER,Limited/Flyer,Fall 2012,weekday
1099,100,100-AIRPORT FLYER,Limited/Flyer,Spring 2013,weekday
1007,100,100-AIRPORT FLYER,Limited/Flyer,Summer 2013,weekday
1109,100,100-AIRPORT FLYER,Limited/Flyer,Fall 2013,weekday
1000,100,100-AIRPORT FLYER,Limited/Flyer,Spring 2014,weekday
819,100,100-AIRPORT FLYER,Limited/Flyer,Summer 2014,weekday
846,100,100-AIRPORT FLYER,Limited/Flyer,Fall 2014,weekday
914,100,100-AIRPORT FLYER,Limited/Flyer,Spring 2015,weekday
859,100,100-AIRPORT FLYER,Limited/Flyer,Summer 2015,weekday
3333.0,101,101-N LAMAR/S CONGRESS LTD,Limited/Flyer,Spring 2012,weekday
3034.0,101,101-N LAMAR/S CONGRESS LTD,Limited/Flyer,Summer 2012,weekday
3376.0,101,101-N LAMAR/S CONGRESS LTD,Limited/Flyer,Fall 2012,weekday
3284.0,101,101-N LAMAR/S CONGRESS LTD,Limited/Flyer,Spring 2013,weekday
2921.0,101,101-N LAMAR/S CONGRESS LTD,Limited/Flyer,Summer 2013,weekday
3108.0,101,101-N LAMAR/S CONGRESS LTD,Limited/Flyer,Fall 2013,weekday
,101,101-N LAMAR/S CONGRESS LTD,Limited/Flyer,Spring 2014,weekday
,101,101-N LAMAR/S CONGRESS LTD,Limited/Flyer,Summer 2014,weekday
,101,101-N LAMAR/S CONGRESS LTD,Limited/Flyer,Fall 2014,weekday
,101,101-N LAMAR/S CONGRESS LTD,Limited/Flyer,Spring 2015,weekday
,101,101-N LAMAR/S CONGRESS LTD,Limited/Flyer,Summer 2015,weekday
158,103,103-MANCHACA FLYER,Limited/Flyer,Spring 2012,weekday
131,103,103-MANCHACA FLYER,Limited/Flyer,Summer 2012,weekday
