ridership,route_id,route_name,route_type,service_period,day
31.8,10,10-SOUTH 1ST/RED RIVER,Local,Summer 2012,weekday
33.1,10,10-SOUTH 1ST/RED RIVER,Local,Fall 2012,weekday
32.1,10,10-SOUTH 1ST/RED RIVER,Local,Spring 2013,weekday
30.9,10,10-SOUTH 1ST/RED RIVER,Local,Summer 2013,weekday
32.2,10,10-SOUTH 1ST/RED RIVER,Local,Fall 2013,weekday
33.0,10,10-SOUTH 1ST/RED RIVER,Local,Spring 2014,weekday
32.7,10,10-SOUTH 1ST/RED RIVER,Local,Summer 2014,weekday
33.3,10,10-SOUTH 1ST/RED RIVER,Local,Fall 2014,weekday
30.0,10,10-SOUTH 1ST/RED RIVER,Local,Spring 2015,weekday
28.5,10,10-SOUTH 1ST/RED RIVER,Local,Summer 2015,weekday
31.2,17,17-CESAR CHAVEZ,Local,Spring 2012,weekday
30.6,17,17-CESAR CHAVEZ,Local,Summer 2012,weekday
32.6,17,17-CESAR CHAVEZ,Local,Fall 2012,weekday
29.3,17,17-CESAR CHAVEZ,Local,Spring 2013,weekday
30.5,17,17-CESAR CHAVEZ,Local,Summer 2013,weekday
30.0,17,17-CESAR CHAVEZ,Local,Fall 2013,weekday
27.1,17,17-CESAR CHAVEZ,Local,Spring 2014,weekday
31.0,17,17-CESAR CHAVEZ,Local,Summer 2014,weekday
32.5,17,17-CESAR CHAVEZ,Local,Fall 2014,weekday
29.6,17,17-CESAR CHAVEZ,Local,Spring 2015,weekday
30.9,17,17-CESAR CHAVEZ,Local,Summer 2015,weekday
20.3,18,18-MARTIN LUTHER KING,Local,Spring 2012,weekday
17.7,18,18-MARTIN LUTHER KING,Local,Summer 2012,weekday
20.4,18,18-MARTIN LUTHER KING,Local,Fall 2012,weekday
22.1,18,18-MARTIN LUTHER KING,Local,Spring 2013,weekday
18.8,18,18-MARTIN LUTHER KING,Local,Summer 2013,weekday
22.5,18,18-MARTIN LUTHER KING,Local,Fall 2013,weekday
22.2,18,18-MARTIN LUTHER KING,Local,Spring 2014,weekday
17.7,18,18-MARTIN LUTHER KING,Local,Summer 2014,weekday
23.8,18,18-MARTIN LUTHER KING,Local,Fall 2014,weekday
21.5,18,18-MARTIN LUTHER KING,Local,Spring 2015,weekday
18.2,18,18-MARTIN LUTHER KING,Local,Summer 2015,weekday
18.1,19,19-BULL CREEK,Local,Spring 2012,weekday
