ridership,route_id,route_name,route_type,service_period,day
,275,275-N. LAMAR,Feeder,Summer 2012,weekday
,275,275-N. LAMAR,Feeder,Fall 2012,weekday
,275,275-N. LAMAR,Feeder,Spring 2013,weekday
,275,275-N. LAMAR,Feeder,Summer 2013,weekday
,275,275-N. LAMAR,Feeder,Fall 2013,weekday
28.8,275,275-N. LAMAR,Feeder,Spring 2014,weekday
32.8,275,275-N. LAMAR,Feeder,Summer 2014,weekday
31.6,275,275-N. LAMAR,Feeder,Fall 2014,weekday
30.3,275,275-N. LAMAR,Feeder,Spring 2015,weekday
30.5,275,275-N. LAMAR,Feeder,Summer 2015,weekday
40.8,300,300-GOVALLE,Crosstown,Spring 2012,weekday
39.6,300,300-GOVALLE,Crosstown,Summer 2012,weekday
42.1,300,300-GOVALLE,Crosstown,Fall 2012,weekday
41.3,300,300-GOVALLE,Crosstown,Spring 2013,weekday
40.6,300,300-GOVALLE,Crosstown,Summer 2013,weekday
39.8,300,300-GOVALLE,Crosstown,Fall 2013,weekday
39.4,300,300-GOVALLE,Crosstown,Spring 2014,weekday
39.9,300,300-GOVALLE,Crosstown,Summer 2014,weekday
40.4,300,300-GOVALLE,Crosstown,Fall 2014,weekday
37.3,300,300-GOVALLE,Crosstown,Spring 2015,weekday
30.3,300,300-GOVALLE,Crosstown,Summer 2015,weekday
30.7,311,311-STASSNEY,Crosstown,Spring 2012,weekday
27.0,311,311-STASSNEY,Crosstown,Summer 2012,weekday
32.4,311,311-STASSNEY,Crosstown,Fall 2012,weekday
31.8,311,311-STASSNEY,Crosstown,Spring 2013,weekday
32.2,311,311-STASSNEY,Crosstown,Summer 2013,weekday
35.1,311,311-STASSNEY,Crosstown,Fall 2013,weekday
33.3,311,311-STASSNEY,Crosstown,Spring 2014,weekday
32.1,311,311-STASSNEY,Crosstown,Summer 2014,weekday
34.5,311,311-STASSNEY,Crosstown,Fall 2014,weekday
27.9,311,311-STASSNEY,Crosstown,Spring 2015,weekday
31.2,311,311-STASSNEY,Crosstown,Summer 2015,weekday
27.2,320,320-ST JOHNS,Crosstown,Spring 2012,weekday
27.4,320,320-ST JOHNS,Crosstown,Summer 2012,weekday
29.5,320,320-ST JOHNS,Crosstown,Fall 2012,weekday
28.8,320,320-ST JOHNS,Crosstown,Spring 2013,weekday
28.9,320,320-ST JOHNS,Crosstown,Summer 2013,weekday
27.9,320,320-ST JOHNS,Crosstown,Fall 2013,weekday
28.0,320,320-ST JOHNS,Crosstown,Spring 2014,weekday
29.5,320,320-ST JOHNS,Crosstown,Summer 2014,weekday
29.4,320,320-ST JOHNS,Crosstown,Fall 2014,weekday
26.9,320,320-ST JOHNS,Crosstown,Spring 2015,weekday
25.0,320,320-ST JOHNS,Crosstown,Summer 2015,weekday
19.2,323,323-ANDERSON,Crosstown,Spring 2012,weekday
19.5,323,323-ANDERSON,Crosstown,Summer 2012,weekday
20.2,323,323-ANDERSON,Crosstown,Fall 2012,weekday
18.0,323,323-ANDERSON,Crosstown,Spring 2013,weekday
19.1,323,323-ANDERSON,Crosstown,Summer 2013,weekday
19.1,323,323-ANDERSON,Crosstown,Fall 2013,weekday
19.6,323,323-ANDERSON,Crosstown,Spring 2014,weekday
21.7,323,323-ANDERSON,Crosstown,Summer 2014,weekday
21.2,323,323-ANDERSON,Crosstown,Fall 2014,weekday
17.5,323,323-ANDERSON,Crosstown,Spring 2015,weekday
18.9,323,323-ANDERSON,Crosstown,Summer 2015,weekday
37.3,325,325-OHLEN ,Crosstown,Spring 2012,weekday
35.1,325,325-OHLEN ,Crosstown,Summer 2012,weekday
37.1,325,325-OHLEN ,Crosstown,Fall 2012,weekday
32.7,325,325-OHLEN ,Crosstown,Spring 2013,weekday
36.9,325,325-OHLEN ,Crosstown,Summer 2013,weekday
33.0,325,325-OHLEN ,Crosstown,Fall 2013,weekday
31.3,325,325-OHLEN ,Crosstown,Spring 2014,weekday
34.1,325,325-OHLEN ,Crosstown,Summer 2014,weekday
30.0,325,325-OHLEN ,Crosstown,Fall 2014,weekday
28.5,325,325-OHLEN ,Crosstown,Spring 2015,weekday
20.0,325,325-OHLEN ,Crosstown,Summer 2015,weekday
40.0,331,331-OLTORF,Crosstown,Spring 2012,weekday
37.0,331,331-OLTORF,Crosstown,Summer 2012,weekday
38.0,331,331-OLTORF,Crosstown,Fall 2012,weekday
39.8,331,331-OLTORF,Crosstown,Spring 2013,weekday
34.9,331,331-OLTORF,Crosstown,Summer 2013,weekday
37.4,331,331-OLTORF,Crosstown,Fall 2013,weekday
37.6,331,331-OLTORF,Crosstown,Spring 2014,weekday
34.5,331,331-OLTORF,Crosstown,Summer 2014,weekday
38.0,331,331-OLTORF,Crosstown,Fall 2014,weekday
34.0,331,331-OLTORF,Crosstown,Spring 2015,weekday
25.4,331,331-OLTORF,Crosstown,Summer 2015,weekday
23.2,333,333-WILLIAM CANNON,Crosstown,Spring 2012,weekday
22.3,333,333-WILLIAM CANNON,Crosstown,Summer 2012,weekday
23.0,333,333-WILLIAM CANNON,Crosstown,Fall 2012,weekday
22.9,333,333-WILLIAM CANNON,Crosstown,Spring 2013,weekday
22.2,333,333-WILLIAM CANNON,Crosstown,Summer 2013,weekday
22.2,333,333-WILLIAM CANNON,Crosstown,Fall 2013,weekday
21.6,333,333-WILLIAM CANNON,Crosstown,Spring 2014,weekday
22.1,333,333-WILLIAM CANNON,Crosstown,Summer 2014,weekday
21.3,333,333-WILLIAM CANNON,Crosstown,Fall 2014,weekday
19.3,333,333-WILLIAM CANNON,Crosstown,Spring 2015,weekday
18.4,333,333-WILLIAM CANNON,Crosstown,Summer 2015,weekday
21.7,338,338-LAMAR/45TH,Crosstown,Spring 2012,weekday
20.9,338,338-LAMAR/45TH,Crosstown,Summer 2012,weekday
21.7,338,338-LAMAR/45TH,Crosstown,Fall 2012,weekday
22.5,338,338-LAMAR/45TH,Crosstown,Spring 2013,weekday
22.2,338,338-LAMAR/45TH,Crosstown,Summer 2013,weekday
22.8,338,338-LAMAR/45TH,Crosstown,Fall 2013,weekday
21.1,338,338-LAMAR/45TH,Crosstown,Spring 2014,weekday
21.7,338,338-LAMAR/45TH,Crosstown,Summer 2014,weekday
19.7,338,338-LAMAR/45TH,Crosstown,Fall 2014,weekday
16.8,338,338-LAMAR/45TH,Crosstown,Spring 2015,weekday
17.1,338,338-LAMAR/45TH,Crosstown,Summer 2015,weekday
28.7,350,350-AIRPORT BLVD,Crosstown,Spring 2012,weekday
29.5,350,350-AIRPORT BLVD,Crosstown,Summer 2012,weekday
30.6,350,350-AIRPORT BLVD,Crosstown,Fall 2012,weekday
26.6,350,350-AIRPORT BLVD,Crosstown,Spring 2013,weekday
26.1,350,350-AIRPORT BLVD,Crosstown,Summer 2013,weekday
24.8,350,350-AIRPORT BLVD,Crosstown,Fall 2013,weekday
26.6,350,350-AIRPORT BLVD,Crosstown,Spring 2014,weekday
28.5,350,350-AIRPORT BLVD,Crosstown,Summer 2014,weekday
28.4,350,350-AIRPORT BLVD,Crosstown,Fall 2014,weekday
26.5,350,350-AIRPORT BLVD,Crosstown,Spring 2015,weekday
26.5,350,350-AIRPORT BLVD,Crosstown,Summer 2015,weekday
20.9,383,383-RESEARCH,Crosstown,Spring 2012,weekday
22.6,383,383-RESEARCH,Crosstown,Summer 2012,weekday
23.3,383,383-RESEARCH,Crosstown,Fall 2012,weekday
21.8,383,383-RESEARCH,Crosstown,Spring 2013,weekday
23.3,383,383-RESEARCH,Crosstown,Summer 2013,weekday
24.3,383,383-RESEARCH,Crosstown,Fall 2013,weekday
20.9,383,383-RESEARCH,Crosstown,Spring 2014,weekday
22.3,383,383-RESEARCH,Crosstown,Summer 2014,weekday
18.3,383,383-RESEARCH,Crosstown,Fall 2014,weekday
17.9,383,383-RESEARCH,Crosstown,Spring 2015,weekday
18.5,383,383-RESEARCH,Crosstown,Summer 2015,weekday
18.8,392,392-BRAKER,Crosstown,Spring 2012,weekday
19.1,392,392-BRAKER,Crosstown,Summer 2012,weekday
18.8,392,392-BRAKER,Crosstown,Fall 2012,weekday
18.4,392,392-BRAKER,Crosstown,Spring 2013,weekday
18.2,392,392-BRAKER,Crosstown,Summer 2013,weekday
19.0,392,392-BRAKER,Crosstown,Fall 2013,weekday
16.3,392,392-BRAKER,Crosstown,Spring 2014,weekday
15.6,392,392-BRAKER,Crosstown,Summer 2014,weekday
16.5,392,392-BRAKER,Crosstown,Fall 2014,weekday
12.9,392,392-BRAKER,Crosstown,Spring 2015,weekday
15.4,392,392-BRAKER,Crosstown,Summer 2015,weekday
68.8,410,410-EBUS/WEST CAMPUS,Special Services- Ebus,Spring 2012,weekday
,410,410-EBUS/WEST CAMPUS,Special Services- Ebus,Summer 2012,weekday
71.5,410,410-EBUS/WEST CAMPUS,Special Services- Ebus,Fall 2012,weekday
65.6,410,410-EBUS/WEST CAMPUS,Special Services- Ebus,Spring 2013,weekday
,410,410-EBUS/WEST CAMPUS,Special Services- Ebus,Summer 2013,weekday
86.0,410,410-EBUS/WEST CAMPUS,Special Services- Ebus,Fall 2013,weekday
76.7,410,410-EBUS/WEST CAMPUS,Special Services- Ebus,Spring 2014,weekday
,410,410-EBUS/WEST CAMPUS,Special Services- Ebus,Summer 2014,weekday
56.9,410,410-EBUS/WEST CAMPUS,Special Services- Ebus,Fall 2014,weekday
48.0,410,410-EBUS/WEST CAMPUS,Special Services- Ebus,Spring 2015,weekday
,410,410-EBUS/WEST CAMPUS,Special Services- Ebus,Summer 2015,weekday
28.3,411,411-EBUS/RIVERSIDE,Special Services- Ebus,Spring 2012,weekday
,411,411-EBUS/RIVERSIDE,Special Services- Ebus,Summer 2012,weekday
28.6,411,411-EBUS/RIVERSIDE,Special Services- Ebus,Fall 2012,weekday
35.2,411,411-EBUS/RIVERSIDE,Special Services- Ebus,Spring 2013,weekday
,411,411-EBUS/RIVERSIDE,Special Services- Ebus,Summer 2013,weekday
28.9,411,411-EBUS/RIVERSIDE,Special Services- Ebus,Fall 2013,weekday
29.8,411,411-EBUS/RIVERSIDE,Special Services- Ebus,Spring 2014,weekday
,411,411-EBUS/RIVERSIDE,Special Services- Ebus,Summer 2014,weekday
20.2,411,411-EBUS/RIVERSIDE,Special Services- Ebus,Fall 2014,weekday
19.0,411,411-EBUS/RIVERSIDE,Special Services- Ebus,Spring 2015,weekday
,411,411-EBUS/RIVERSIDE,Special Services- Ebus,Summer 2015,weekday
59.2,412,412-EBUS/MAIN CAMPUS,Special Services- Ebus,Spring 2012,weekday
,412,412-EBUS/MAIN CAMPUS,Special Services- Ebus,Summer 2012,weekday
54.6,412,412-EBUS/MAIN CAMPUS,Special Services- Ebus,Fall 2012,weekday
59.4,412,412-EBUS/MAIN CAMPUS,Special Services- Ebus,Spring 2013,weekday
,412,412-EBUS/MAIN CAMPUS,Special Services- Ebus,Summer 2013,weekday
44.9,412,412-EBUS/MAIN CAMPUS,Special Services- Ebus,Fall 2013,weekday
59.6,412,412-EBUS/MAIN CAMPUS,Special Services- Ebus,Spring 2014,weekday
,412,412-EBUS/MAIN CAMPUS,Special Services- Ebus,Summer 2014,weekday
47.5,412,412-EBUS/MAIN CAMPUS,Special Services- Ebus,Fall 2014,weekday
32.0,412,412-EBUS/MAIN CAMPUS,Special Services- Ebus,Spring 2015,weekday
,412,412-EBUS/MAIN CAMPUS,Special Services- Ebus,Summer 2015,weekday
10.1,464,464-MLK-CAPITAL,Special Services - Rail Connectors,Spring 2012,weekday
10.1,464,464-MLK-CAPITAL,Special Services - Rail Connectors,Summer 2012,weekday
22.1,464,464-MLK-CAPITAL,Special Services - Rail Connectors,Fall 2012,weekday
11.1,464,464-MLK-CAPITAL,Special Services - Rail Connectors,Spring 2013,weekday
17.4,464,464-MLK-CAPITAL,Special Services - Rail Connectors,Summer 2013,weekday
22.4,464,464-MLK-CAPITAL,Special Services - Rail Connectors,Fall 2013,weekday
1.9,464,464-MLK-CAPITAL,Special Services - Rail Connectors,Spring 2014,weekday
17.2,464,464-MLK-CAPITAL,Special Services - Rail Connectors,Summer 2014,weekday
25.2,464,464-MLK-CAPITAL,Special Services - Rail Connectors,Fall 2014,weekday
17.5,464,464-MLK-CAPITAL,Special Services - Rail Connectors,Spring 2015,weekday
16.4,464,464-MLK-CAPITAL,Special Services - Rail Connectors,Summer 2015,weekday
18.7,465,465-MLK-UT,Special Services - Rail Connectors,Spring 2012,weekday
15.0,465,465-MLK-UT,Special Services - Rail Connectors,Summer 2012,weekday
28.7,465,465-MLK-UT,Special Services - Rail Connectors,Fall 2012,weekday
23.7,465,465-MLK-UT,Special Services - Rail Connectors,Spring 2013,weekday
18.4,465,465-MLK-UT,Special Services - Rail Connectors,Summer 2013,weekday
28.6,465,465-MLK-UT,Special Services - Rail Connectors,Fall 2013,weekday
3.8,465,465-MLK-UT,Special Services - Rail Connectors,Spring 2014,weekday
17.4,465,465-MLK-UT,Special Services - Rail Connectors,Summer 2014,weekday
20.5,465,465-MLK-UT,Special Services - Rail Connectors,Fall 2014,weekday
21.2,465,465-MLK-UT,Special Services - Rail Connectors,Spring 2015,weekday
14.4,465,465-MLK-UT,Special Services - Rail Connectors,Summer 2015,weekday
5.4,466,466-KRAMER/DOMAIN,Special Services - Rail Connectors,Spring 2012,weekday
4.8,466,466-KRAMER/DOMAIN,Special Services - Rail Connectors,Summer 2012,weekday
8.2,466,466-KRAMER/DOMAIN,Special Services - Rail Connectors,Fall 2012,weekday
5.5,466,466-KRAMER/DOMAIN,Special Services - Rail Connectors,Spring 2013,weekday
6.5,466,466-KRAMER/DOMAIN,Special Services - Rail Connectors,Summer 2013,weekday
9.2,466,466-KRAMER/DOMAIN,Special Services - Rail Connectors,Fall 2013,weekday
3.8,466,466-KRAMER/DOMAIN,Special Services - Rail Connectors,Spring 2014,weekday
6.9,466,466-KRAMER/DOMAIN,Special Services - Rail Connectors,Summer 2014,weekday
10.4,466,466-KRAMER/DOMAIN,Special Services - Rail Connectors,Fall 2014,weekday
5.4,466,466-KRAMER/DOMAIN,Special Services - Rail Connectors,Spring 2015,weekday
6.3,466,466-KRAMER/DOMAIN,Special Services - Rail Connectors,Summer 2015,weekday
29.3,481,481-NIGHT OWL NORTH LAMAR,Special Services - Night Owls,Spring 2012,weekday
19.5,481,481-NIGHT OWL NORTH LAMAR,Special Services - Night Owls,Summer 2012,weekday
27.2,481,481-NIGHT OWL NORTH LAMAR,Special Services - Night Owls,Fall 2012,weekday
26.1,481,481-NIGHT OWL NORTH LAMAR,Special Services - Night Owls,Spring 2013,weekday
26.2,481,481-NIGHT OWL NORTH LAMAR,Special Services - Night Owls,Summer 2013,weekday
22.2,481,481-NIGHT OWL NORTH LAMAR,Special Services - Night Owls,Fall 2013,weekday
31.5,481,481-NIGHT OWL NORTH LAMAR,Special Services - Night Owls,Spring 2014,weekday
26.3,481,481-NIGHT OWL NORTH LAMAR,Special Services - Night Owls,Summer 2014,weekday
23.5,481,481-NIGHT OWL NORTH LAMAR,Special Services - Night Owls,Fall 2014,weekday
23.6,481,481-NIGHT OWL NORTH LAMAR,Special Services - Night Owls,Spring 2015,weekday
22.6,481,481-NIGHT OWL NORTH LAMAR,Special Services - Night Owls,Summer 2015,weekday
15.8,482,482-NIGHT OWL EAST,Special Services - Night Owls,Spring 2012,weekday
15.3,482,482-NIGHT OWL EAST,Special Services - Night Owls,Summer 2012,weekday
,482,482-NIGHT OWL EAST,Special Services - Night Owls,Fall 2012,weekday
,482,482-NIGHT OWL EAST,Special Services - Night Owls,Spring 2013,weekday
,482,482-NIGHT OWL EAST,Special Services - Night Owls,Summer 2013,weekday
,482,482-NIGHT OWL EAST,Special Services - Night Owls,Fall 2013,weekday
,482,482-NIGHT OWL EAST,Special Services - Night Owls,Spring 2014,weekday
,482,482-NIGHT OWL EAST,Special Services - Night Owls,Summer 2014,weekday
,482,482-NIGHT OWL EAST,Special Services - Night Owls,Fall 2014,weekday
,482,482-NIGHT OWL EAST,Special Services - Night Owls,Spring 2015,weekday
,482,482-NIGHT OWL EAST,Special Services - Night Owls,Summer 2015,weekday
47.8,483,483-NIGHT OWL RIVERSIDE,Special Services - Night Owls,Spring 2012,weekday
30.4,483,483-NIGHT OWL RIVERSIDE,Special Services - Night Owls,Summer 2012,weekday
31.9,483,483-NIGHT OWL RIVERSIDE,Special Services - Night Owls,Fall 2012,weekday
33.8,483,483-NIGHT OWL RIVERSIDE,Special Services - Night Owls,Spring 2013,weekday
38.9,483,483-NIGHT OWL RIVERSIDE,Special Services - Night Owls,Summer 2013,weekday
41.2,483,483-NIGHT OWL RIVERSIDE,Special Services - Night Owls,Fall 2013,weekday
44.2,483,483-NIGHT OWL RIVERSIDE,Special Services - Night Owls,Spring 2014,weekday
34.1,483,483-NIGHT OWL RIVERSIDE,Special Services - Night Owls,Summer 2014,weekday
39.2,483,483-NIGHT OWL RIVERSIDE,Special Services - Night Owls,Fall 2014,weekday
36.0,483,483-NIGHT OWL RIVERSIDE,Special Services - Night Owls,Spring 2015,weekday
40.2,483,483-NIGHT OWL RIVERSIDE,Special Services - Night Owls,Summer 2015,weekday
12.2,484,484-NIGHT OWL SOUTH LAMAR,Special Services - Night Owls,Spring 2012,weekday
16.4,484,484-NIGHT OWL SOUTH LAMAR,Special Services - Night Owls,Summer 2012,weekday
14.1,484,484-NIGHT OWL SOUTH LAMAR,Special Services - Night Owls,Fall 2012,weekday
14.2,484,484-NIGHT OWL SOUTH LAMAR,Special Services - Night Owls,Spring 2013,weekday
15.8,484,484-NIGHT OWL SOUTH LAMAR,Special Services - Night Owls,Summer 2013,weekday
17.2,484,484-NIGHT OWL SOUTH LAMAR,Special Services - Night Owls,Fall 2013,weekday
16.4,484,484-NIGHT OWL SOUTH LAMAR,Special Services - Night Owls,Spring 2014,weekday
23.2,484,484-NIGHT OWL SOUTH LAMAR,Special Services - Night Owls,Summer 2014,weekday
16.1,484,484-NIGHT OWL SOUTH LAMAR,Special Services - Night Owls,Fall 2014,weekday
14.6,484,484-NIGHT OWL SOUTH LAMAR,Special Services - Night Owls,Spring 2015,weekday
13.9,484,484-NIGHT OWL SOUTH LAMAR,Special Services - Night Owls,Summer 2015,weekday
14.6,485,485-NIGHT OWL CAMERON,Special Services - Night Owls,Spring 2012,weekday
13.4,485,485-NIGHT OWL CAMERON,Special Services - Night Owls,Summer 2012,weekday
12.5,485,485-NIGHT OWL CAMERON,Special Services - Night Owls,Fall 2012,weekday
14.5,485,485-NIGHT OWL CAMERON,Special Services - Night Owls,Spring 2013,weekday
14.2,485,485-NIGHT OWL CAMERON,Special Services - Night Owls,Summer 2013,weekday
11.5,485,485-NIGHT OWL CAMERON,Special Services - Night Owls,Fall 2013,weekday
16.0,485,485-NIGHT OWL CAMERON,Special Services - Night Owls,Spring 2014,weekday
13.0,485,485-NIGHT OWL CAMERON,Special Services - Night Owls,Summer 2014,weekday
16.0,485,485-NIGHT OWL CAMERON,Special Services - Night Owls,Fall 2014,weekday
13.9,485,485-NIGHT OWL CAMERON,Special Services - Night Owls,Spring 2015,weekday
14.3,485,485-NIGHT OWL CAMERON,Special Services - Night Owls,Summer 2015,weekday
20.4,486,486-NIGHT OWL SOUTH CONGRESS,Special Services - Night Owls,Spring 2012,weekday
19.5,486,486-NIGHT OWL SOUTH CONGRESS,Special Services - Night Owls,Summer 2012,weekday
18.0,486,486-NIGHT OWL SOUTH CONGRESS,Special Services - Night Owls,Fall 2012,weekday
18.7,486,486-NIGHT OWL SOUTH CONGRESS,Special Services - Night Owls,Spring 2013,weekday
17.5,486,486-NIGHT OWL SOUTH CONGRESS,Special Services - Night Owls,Summer 2013,weekday
16.8,486,486-NIGHT OWL SOUTH CONGRESS,Special Services - Night Owls,Fall 2013,weekday
19.0,486,486-NIGHT OWL SOUTH CONGRESS,Special Services - Night Owls,Spring 2014,weekday
21.5,486,486-NIGHT OWL SOUTH CONGRESS,Special Services - Night Owls,Summer 2014,weekday
23.1,486,486-NIGHT OWL SOUTH CONGRESS,Special Services - Night Owls,Fall 2014,weekday
20.9,486,486-NIGHT OWL SOUTH CONGRESS,Special Services - Night Owls,Spring 2015,weekday
20.0,486,486-NIGHT OWL SOUTH CONGRESS,Special Services - Night Owls,Summer 2015,weekday
10.0,490,490-HEB SHUTTLE,Special Services - Senior,Spring 2012,weekday
11.4,490,490-HEB SHUTTLE,Special Services - Senior,Summer 2012,weekday
24.2,490,490-HEB SHUTTLE,Special Services - Senior,Fall 2012,weekday
9.3,490,490-HEB SHUTTLE,Special Services - Senior,Spring 2013,weekday
9.7,490,490-HEB SHUTTLE,Special Services - Senior,Summer 2013,weekday
12.2,490,490-HEB SHUTTLE,Special Services - Senior,Fall 2013,weekday
11.8,490,490-HEB SHUTTLE,Special Services - Senior,Spring 2014,weekday
13.4,490,490-HEB SHUTTLE,Special Services - Senior,Summer 2014,weekday
14.2,490,490-HEB SHUTTLE,Special Services - Senior,Fall 2014,weekday
12.6,490,490-HEB SHUTTLE,Special Services - Senior,Spring 2015,weekday
11.0,490,490-HEB SHUTTLE,Special Services - Senior,Summer 2015,weekday
2.2,491,491-ALLANDALE (151),Special Services - Senior,Spring 2012,weekday
2.8,491,491-ALLANDALE (151),Special Services - Senior,Summer 2012,weekday
2.8,491,491-ALLANDALE (151),Special Services - Senior,Fall 2012,weekday
1.8,491,491-ALLANDALE (151),Special Services - Senior,Spring 2013,weekday
2.3,491,491-ALLANDALE (151),Special Services - Senior,Summer 2013,weekday
2.7,491,491-ALLANDALE (151),Special Services - Senior,Fall 2013,weekday
2.1,491,491-ALLANDALE (151),Special Services - Senior,Spring 2014,weekday
2.1,491,491-ALLANDALE (151),Special Services - Senior,Summer 2014,weekday
2.2,491,491-ALLANDALE (151),Special Services - Senior,Fall 2014,weekday
1.7,491,491-ALLANDALE (151),Special Services - Senior,Spring 2015,weekday
0.9,491,491-ALLANDALE (151),Special Services - Senior,Summer 2015,weekday
5.6,492,492-DELWOOD (161),Special Services - Senior,Spring 2012,weekday
4.1,492,492-DELWOOD (161),Special Services - Senior,Summer 2012,weekday
4.5,492,492-DELWOOD (161),Special Services - Senior,Fall 2012,weekday
4.7,492,492-DELWOOD (161),Special Services - Senior,Spring 2013,weekday
3.3,492,492-DELWOOD (161),Special Services - Senior,Summer 2013,weekday
3.4,492,492-DELWOOD (161),Special Services - Senior,Fall 2013,weekday
2.9,492,492-DELWOOD (161),Special Services - Senior,Spring 2014,weekday
3.6,492,492-DELWOOD (161),Special Services - Senior,Summer 2014,weekday
4.3,492,492-DELWOOD (161),Special Services - Senior,Fall 2014,weekday
4.8,492,492-DELWOOD (161),Special Services - Senior,Spring 2015,weekday
2.7,492,492-DELWOOD (161),Special Services - Senior,Summer 2015,weekday
58.7,550,550-METRO RAIL RED LINE,MetroRail,Spring 2012,weekday
60.1,550,550-METRO RAIL RED LINE,MetroRail,Summer 2012,weekday
71.9,550,550-METRO RAIL RED LINE,MetroRail,Fall 2012,weekday
74.3,550,550-METRO RAIL RED LINE,MetroRail,Spring 2013,weekday
64.6,550,550-METRO RAIL RED LINE,MetroRail,Summer 2013,weekday
73.2,550,550-METRO RAIL RED LINE,MetroRail,Fall 2013,weekday
70.9,550,550-METRO RAIL RED LINE,MetroRail,Spring 2014,weekday
67.6,550,550-METRO RAIL RED LINE,MetroRail,Summer 2014,weekday
81.6,550,550-METRO RAIL RED LINE,MetroRail,Fall 2014,weekday
70.4,550,550-METRO RAIL RED LINE,MetroRail,Spring 2015,weekday
62.8,550,550-METRO RAIL RED LINE,MetroRail,Summer 2015,weekday
125.8,640,640-FA FORTY ACRES,UT Shuttle,Spring 2012,weekday
57.0,640,640-FA FORTY ACRES,UT Shuttle,Summer 2012,weekday
144.7,640,640-FA FORTY ACRES,UT Shuttle,Fall 2012,weekday
124.2,640,640-FA FORTY ACRES,UT Shuttle,Spring 2013,weekday
56.0,640,640-FA FORTY ACRES,UT Shuttle,Summer 2013,weekday
125.4,640,640-FA FORTY ACRES,UT Shuttle,Fall 2013,weekday
132.2,640,640-FA FORTY ACRES,UT Shuttle,Spring 2014,weekday
45.7,640,640-FA FORTY ACRES,UT Shuttle,Summer 2014,weekday
107.4,640,640-FA FORTY ACRES,UT Shuttle,Fall 2014,weekday
105.3,640,640-FA FORTY ACRES,UT Shuttle,Spring 2015,weekday
57.7,640,640-FA FORTY ACRES,UT Shuttle,Summer 2015,weekday
57.4,641,641-EC EAST CAMPUS,UT Shuttle,Spring 2012,weekday
26.0,641,641-EC EAST CAMPUS,UT Shuttle,Summer 2012,weekday
56.7,641,641-EC EAST CAMPUS,UT Shuttle,Fall 2012,weekday
43.7,641,641-EC EAST CAMPUS,UT Shuttle,Spring 2013,weekday
28.3,641,641-EC EAST CAMPUS,UT Shuttle,Summer 2013,weekday
53.6,641,641-EC EAST CAMPUS,UT Shuttle,Fall 2013,weekday
51.9,641,641-EC EAST CAMPUS,UT Shuttle,Spring 2014,weekday
23.6,641,641-EC EAST CAMPUS,UT Shuttle,Summer 2014,weekday
45.4,641,641-EC EAST CAMPUS,UT Shuttle,Fall 2014,weekday
42.8,641,641-EC EAST CAMPUS,UT Shuttle,Spring 2015,weekday
27.6,641,641-EC EAST CAMPUS,UT Shuttle,Summer 2015,weekday
91.4,642,642-WC WEST CAMPUS/UT,UT Shuttle,Spring 2012,weekday
44.5,642,642-WC WEST CAMPUS/UT,UT Shuttle,Summer 2012,weekday
99.1,642,642-WC WEST CAMPUS/UT,UT Shuttle,Fall 2012,weekday
97.8,642,642-WC WEST CAMPUS/UT,UT Shuttle,Spring 2013,weekday
48.4,642,642-WC WEST CAMPUS/UT,UT Shuttle,Summer 2013,weekday
90.9,642,642-WC WEST CAMPUS/UT,UT Shuttle,Fall 2013,weekday
90.0,642,642-WC WEST CAMPUS/UT,UT Shuttle,Spring 2014,weekday
49.0,642,642-WC WEST CAMPUS/UT,UT Shuttle,Summer 2014,weekday
100.5,642,642-WC WEST CAMPUS/UT,UT Shuttle,Fall 2014,weekday
87.7,642,642-WC WEST CAMPUS/UT,UT Shuttle,Spring 2015,weekday
51.8,642,642-WC WEST CAMPUS/UT,UT Shuttle,Summer 2015,weekday
35.2,651,651-CR CAMERON RD/UT,UT Shuttle,Spring 2012,weekday
23.2,651,651-CR CAMERON RD/UT,UT Shuttle,Summer 2012,weekday
40.2,651,651-CR CAMERON RD/UT,UT Shuttle,Fall 2012,weekday
36.3,651,651-CR CAMERON RD/UT,UT Shuttle,Spring 2013,weekday
23.9,651,651-CR CAMERON RD/UT,UT Shuttle,Summer 2013,weekday
44.5,651,651-CR CAMERON RD/UT,UT Shuttle,Fall 2013,weekday
36.7,651,651-CR CAMERON RD/UT,UT Shuttle,Spring 2014,weekday
,651,651-CR CAMERON RD/UT,UT Shuttle,Summer 2014,weekday
,651,651-CR CAMERON RD/UT,UT Shuttle,Fall 2014,weekday
,651,651-CR CAMERON RD/UT,UT Shuttle,Spring 2015,weekday
,651,651-CR CAMERON RD/UT,UT Shuttle,Summer 2015,weekday
12.8,652,652-PRC PICKLE RESEARCH CAMPUS,UT Shuttle,Spring 2012,weekday
6.6,652,652-PRC PICKLE RESEARCH CAMPUS,UT Shuttle,Summer 2012,weekday
17.2,652,652-PRC PICKLE RESEARCH CAMPUS,UT Shuttle,Fall 2012,weekday
18.0,652,652-PRC PICKLE RESEARCH CAMPUS,UT Shuttle,Spring 2013,weekday
14.5,652,652-PRC PICKLE RESEARCH CAMPUS,UT Shuttle,Summer 2013,weekday
19.3,652,652-PRC PICKLE RESEARCH CAMPUS,UT Shuttle,Fall 2013,weekday
17.6,652,652-PRC PICKLE RESEARCH CAMPUS,UT Shuttle,Spring 2014,weekday
15.1,652,652-PRC PICKLE RESEARCH CAMPUS,UT Shuttle,Summer 2014,weekday
